,0
0,106189.76326881256
1,156987.7881719188
2,167242.08767411052
3,184327.71500330785
4,188722.2840160453
5,172587.28206177265
6,184197.84000437785
7,163287.8447848528
8,199876.4817445914
9,110329.33686666549
10,201072.08581671506
11,106159.2528828677
12,91480.40856046317
13,147035.37121988717
14,108005.0742358565
15,349434.66284119524
16,240223.3560541247
17,304734.7801463929
18,298737.55422178993
19,424949.9874382168
20,279753.5917391927
21,214872.80597950623
22,177732.8657450324
23,168670.41320663618
24,200049.1590261276
25,209552.7104975779
26,294093.3243462707
27,238201.72860955645
28,187939.2260491356
29,244299.43449483463
30,215647.4628837685
31,92079.74520375783
32,197268.35480988031
33,288742.4058580004
34,266548.00404415355
35,250488.12599837838
36,167427.38453864356
37,169579.5141955352
38,163032.10089253535
39,158329.7948702051
40,203003.73621716956
41,147972.6917456146
42,280724.1272442905
43,243280.1832296743
44,225208.250956821
45,195832.80973127135
46,245782.05707880616
47,202181.19426105174
48,151383.28528320376
49,134322.35463746448
50,153579.82322381818
51,177265.87803013792
52,153205.33176021508
53,137127.1399460292
54,212606.79099005455
55,168455.45604708404
56,168000.54975676638
57,121320.7526836509
58,226699.3222861198
59,127575.39872983139
60,120388.21633963013
61,193643.8841151298
62,98613.18404798285
63,125810.04009787008
64,92224.16009004216
65,87554.21846868869
66,92513.79031050648
67,148012.91508145354
68,140012.14846195787
69,199781.50219154943
70,150075.4133170521
71,103033.74979399532
72,158141.0958017887
73,153666.78093064507
74,161631.9768186454
75,109567.06445755667
76,43906.433760227344
77,156194.08573764286
78,230302.9940653321
79,111174.42968021103
80,144947.5019944466
81,142977.26947028126
82,187537.04196141553
83,93075.02180092136
84,107288.51977146932
85,138597.62320281827
86,152279.1985909253
87,131692.26810837255
88,109496.43576171261
89,134951.7703012616
90,138872.86894912677
91,134790.7392025041
92,152782.78351752073
93,110179.1448640775
94,163526.62316266244
95,78413.7602821741
96,112966.20099347585
97,117746.90519854362
98,73737.79937781353
99,142504.92146468087
100,157285.57562338785
101,134376.86115968772
102,118735.80156254
103,160483.76457251646
104,133115.43732391807
105,234877.00806530152
106,82263.22718485954
107,234514.65287757647
108,121459.1700723652
109,142733.21415655213
110,98109.41838879083
111,138998.75109056808
112,253445.45908750116
113,112612.37162015296
114,233768.8532072567
115,246307.42282180014
116,192358.29055839265
117,157171.95175480773
118,123006.81611647585
119,190905.9161807719
120,165412.19710962544
121,124804.88645348069
122,287375.1739026515
123,224028.7914308807
124,150433.1508427314
125,45166.0626284575
126,104299.38479260547
127,152885.98365874158
128,102301.8132649645
129,136057.76619916107
130,69335.07339853689
131,146422.93402023206
132,130307.62049184935
133,142031.36267448543
134,113385.47172075865
135,217864.5372816343
136,164324.23285213273
137,189449.8293736247
138,187919.23399432853
139,184960.81616916743
140,36496.0315268471
141,116745.10744509107
142,64308.30184534477
143,270471.65475753567
144,244817.24643083813
145,163221.55774472392
146,164533.23238113077
147,225977.75047751248
148,194127.4635913984
149,150276.59124094984
150,132052.8516305375
151,188861.4858112615
152,163121.67052896213
153,137056.04229529278
154,78511.97395557008
155,52259.09530393657
156,70736.93605511525
157,112089.13783406132
158,154380.56119666973
159,149389.9320871287
160,134174.95240573297
161,155042.07037094104
162,256194.70745115075
163,217786.65946046048
164,119209.15757830226
165,181630.8870140481
166,181233.44306423716
167,277292.1959286326
168,172380.72384029455
169,326386.6471259589
170,211227.27905183818
171,223692.1239703733
172,183557.25100501176
173,188984.8683034024
174,187128.80094066184
175,161281.195596622
176,193940.5860543864
177,201487.22109353865
178,178410.5900119521
179,264246.53058909695
180,182239.77744574717
181,258016.0105050602
182,219447.0294997298
183,231446.75628322962
184,236427.65760999036
185,166074.45693069202
186,158600.27600211088
187,132423.17308532554
188,143112.46071309166
189,101766.10186774837
190,108900.55647608111
191,105567.45897459204
192,105535.40491797202
193,144284.79541236113
194,143307.1322179128
195,139226.362736923
196,144244.82470310165
197,149202.78607218323
198,107457.15514289055
199,147884.10907968736
200,407811.4159527846
201,338296.89322076685
202,371899.7810488617
203,430832.95260052464
204,321716.9620479243
205,294835.229214006
206,348842.5029474026
207,352007.612762639
208,313955.9035166251
209,342199.70734168467
210,259978.11150521753
211,382086.7007492191
212,281100.7439087781
213,252279.36553651642
214,210801.75094178919
215,213365.03070563936
216,210546.17095194315
217,421260.4555570832
218,345588.75908517156
219,320944.405060814
220,281170.25962596794
221,289474.6325111935
222,191704.04779760723
223,190553.75959206893
224,199109.28167128342
225,175834.8414458729
226,187899.22364420336
227,206830.0723424774
228,211568.34684585148
229,213199.33318659136
230,201031.45835491165
231,272037.5360221979
232,184349.9454770068
233,183724.29255559845
234,164891.4082069629
235,262659.6193456556
236,163352.36839907357
237,300815.86548140936
238,317246.85984964774
239,240055.46756175417
240,269722.5529398128
241,249120.89447761577
242,243392.53967316952
243,281564.47500385443
244,273404.54387379775
245,383255.01232761744
246,219913.96939123236
247,208253.81452089455
248,264786.3161089924
249,232365.7740169965
250,280324.0938451801
251,256768.69946150912
252,273279.534150129
253,225465.10206098342
254,212249.00387317076
255,184815.27015196707
256,187236.36647375778
257,135569.1436672147
258,217890.8147522484
259,273646.1730470081
260,179816.21550232847
261,125465.85939392989
262,162819.3861474645
263,215673.75040113437
264,243233.99312150723
265,197822.28397010948
266,156305.63867292285
267,197186.8661121964
268,161780.2096508609
269,157332.73942270293
270,132663.08122856452
271,124504.70945190368
272,103828.6245556162
273,116353.5110303601
274,146156.92961728785
275,103983.60897842966
276,287855.8891400987
277,233209.62188084604
278,259434.39457566274
279,206399.0284226124
280,190076.87057020294
281,184449.63970900193
282,189205.5490440339
283,326627.3500178697
284,218397.40980519555
285,208714.50094711443
286,213970.19300943537
287,225210.4079119659
288,160511.29036605314
289,137794.8146212931
290,258041.22067278996
291,107680.52573271177
292,154558.71913384311
293,199216.48032241236
294,185258.99994593978
295,136445.52824548117
296,110633.08413314808
297,148563.84875822303
298,158574.03906285804
299,162748.2018133608
300,150845.6522892387
301,170911.45567039505
302,184279.63790308885
303,100950.58836769708
304,182273.37610085565
305,185572.96547989568
306,225918.18296828796
307,144882.66978219204
308,169460.36195913493
309,171031.51449731647
310,104554.54283984567
311,141307.99550122945
312,114083.12155978236
313,143497.51732471274
314,144158.99643132064
315,131478.34470099633
316,113178.11598143293
317,152438.54523140145
318,119723.0343478324
319,180008.99187430405
320,119366.04362193361
321,69045.26507867244
322,136611.68047498708
323,115597.37353573932
324,131871.1642463177
325,114423.08342477967
326,184348.97632211543
327,82863.27652967424
328,100155.44837014118
329,44662.81915493304
330,206501.7553647665
331,158334.73207699537
332,140720.26803563675
333,174936.6420883082
334,135676.97786003354
335,158747.72305380047
336,138193.7241089877
337,112989.6567534426
338,96702.47475840521
339,130680.98035158921
340,117250.50293276113
341,134107.64867475655
342,160361.62820875103
343,143152.57889086608
344,144467.8647670846
345,128940.63548639725
346,155520.3279189695
347,129247.828574986
348,121457.35797403866
349,139521.34131433672
350,137973.66396085088
351,113078.85802260492
352,122383.34281236431
353,102125.73967700731
354,32254.164684806427
355,124793.46551385793
356,133653.11512504364
357,193761.5461431625
358,137531.39606412066
359,60816.53364449763
360,130880.42345750408
361,153572.94276395996
362,52729.6484517802
363,144593.61080066158
364,135615.4715068277
365,101354.20975193908
366,80543.50755286578
367,134767.16803289126
368,141039.37613630175
369,144810.9670615187
370,140692.99879067266
371,68578.93718683807
372,147874.44200141763
373,128036.86293896334
374,121083.78208705175
375,125000.33580487815
376,77339.3278994899
377,99618.96817823351
378,130269.53033808345
379,134067.7995959017
380,117064.73087985793
381,90645.22835132401
382,115702.29414059114
383,136578.53951536177
384,128130.1778649638
385,152417.01892616923
386,164005.8179444664
387,30426.10166985431
388,115982.61234121109
389,113879.45345336795
390,155736.896325509
391,128283.75447701276
392,133210.46205846695
393,182497.37412555423
394,164062.19933331286
395,226095.57000127644
396,144545.51541827075
397,137511.5806265123
398,108228.40085991751
399,156301.07148934132
400,107770.4512968472
401,284900.60862085
402,284319.6945301425
403,284335.44834421086
404,349114.12964910164
405,351326.45882631815
406,232497.43861396442
407,307488.39201894985
408,222528.7569579885
409,230289.41643160835
410,260671.125773411
411,191781.40897888472
412,231475.6176134078
413,133355.41659812105
414,186393.22015083832
415,188106.24929124233
416,212788.0475302445
417,207082.50542889893
418,121627.67148796134
419,127219.66125229033
420,239744.1512641795
421,254083.26490565002
422,189952.5872268748
423,203509.23101753363
424,240478.97653091332
425,287338.7731151849
426,231871.9857229383
427,268945.42770590994
428,172870.41807096938
429,96448.10060277962
430,128943.32704841369
431,86366.7461013592
432,131975.4903563234
433,106343.43926013628
434,136178.90285763374
435,120231.32668252577
436,97807.15514101455
437,120318.98618644546
438,158386.34970110602
439,140622.8757069367
440,148959.35561154745
441,116613.41253979152
442,197248.03879972518
443,130193.66429910983
444,192027.94268210276
445,146539.36245658682
446,211099.29770109573
447,108157.95498531309
448,145998.81436940058
449,124247.06309745865
450,190155.58936279934
451,280262.7044396327
452,167617.80359947804
453,58516.95069031068
454,309565.4292158242
455,15989.781747552799
456,251511.3665721689
457,142199.795617659
458,180876.20822973325
459,159118.9824347891
460,370069.3704130192
461,330943.8600449492
462,235635.18683840754
463,212108.3349950086
464,215547.67417851352
465,374338.5246978051
466,136525.562449682
467,166016.64204126273
468,125306.93649638584
469,130927.67263083704
470,150329.99858050217
471,145082.8892745574
472,172689.11679433007
473,169128.0665320883
474,168305.2227358413
475,185796.94230072084
476,178959.70885808286
477,191123.25731016483
478,244329.6692120342
479,188191.83543500773
480,167282.41498683984
481,193886.36757834078
482,203695.08156663555
483,320207.5671645701
484,359885.5279540174
485,134397.88685667573
486,284474.26350000344
487,169074.56822481213
488,266880.9299139503
489,200559.72650302414
490,274622.00531559327
491,229207.55648378882
492,202420.86164181484
493,193303.4812958771
494,122476.09771181323
495,329668.74572483293
496,155067.80888083772
497,290813.0916922152
498,137364.83499337063
499,109142.10771167284
500,123912.26933646784
501,96095.92479657996
502,112104.8457099837
503,99758.8916123994
504,140282.74823803577
505,140451.25786208568
506,284946.6010737031
